,RK,Name,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF,Team
142,115,Dontay Joyner,S,5,3,8,0.0,0,0,0,0,0,0,0,ARST
143,115,Jailin Walker,LB,5,3,8,0.0,0,0,0,0,0,0,0,IU
144,115,Jordan Pollard,LB,4,4,8,0.0,0,0,0,0,0,0,0,SJSU
145,115,Kerry Brown,DB,3,5,8,0.0,0,0,0,0,0,0,0,MINN
146,115,Cade Uluave,LB,2,6,8,0.0,0,1,1,6,6,0,0,CAL
147,115,Chris Bracy,S,5,3,8,0.0,0,1,0,0,0,0,0,UAB
148,115,Jayden Wilson,LB,3,5,8,1.0,9,0,0,0,0,0,1,UNM
149,115,Kalib Fortner,LB,5,3,8,0.0,0,0,0,0,0,0,0,ARMY
150,115,Amir Renwick,LB,5,3,8,0.0,0,1,0,0,0,0,0,CONN
151,115,Isiah Revis,DB,4,4,8,0.0,0,2,0,0,0,0,0,SJSU
152,115,Tyler Martinez,LB,5,3,8,0.0,0,0,0,0,0,0,0,NMSU
153,154,Jaden Robinson,DB,5,2,7,0.0,0,1,0,0,0,0,0,ORST
154,154,K.J. Wallace,DB,6,1,7,1.0,7,4,0,0,0,0,0,UCLA
155,154,Marcus Fuqua,S,4,3,7,0.0,0,0,0,0,0,0,0,BUFF
156,154,Josh Pearcy,LB,2,5,7,0.5,1,1,0,0,0,0,0,RICE
157,154,Wy'Kevious Thomas,DL,0,7,7,0.0,0,0,0,0,0,0,0,USA
158,154,Zaylin Wood,DL,2,5,7,1.0,5,0,0,0,0,0,0,VAN
159,154,Dal'Mont Gourdine,DL,5,2,7,0.0,0,0,0,0,0,0,0,CONN
160,154,Jamal Morris,LB,2,5,7,0.0,0,0,0,0,0,0,0,HOU
161,154,Tyleik Williams,DT,2,5,7,1.0,1,0,0,0,0,0,0,OSU
162,154,Romello Height,DL,3,4,7,0.0,0,0,0,0,0,0,0,GT
163,154,Antonio Stevens,DB,2,5,7,0.0,0,0,0,0,0,0,0,PUR
164,154,Aydan White,CB,6,1,7,0.0,0,1,0,0,0,0,0,NCSU
165,154,Power Echols,LB,5,2,7,0.0,0,0,0,0,0,0,0,UNC
166,154,Hunter Wohler,S,6,1,7,0.0,0,1,0,0,0,0,0,WIS
167,154,Shemar TurnerTA&M,DL,4,3,7,0.0,0,0,0,0,0,0,0,
168,154,Jay Higgins,LB,3,4,7,0.0,0,1,0,0,0,0,0,IOWA
169,154,Teylor Jackson,LB,5,2,7,0.0,0,0,0,0,0,0,0,LIB
170,154,DK Kaufman,S,5,2,7,0.0,0,0,0,0,0,0,0,NCSU
171,154,Jayland Parker,LB,2,5,7,0.0,0,0,0,0,0,0,0,NCSU
172,154,Zach Zimos,LB,1,6,7,0.5,6,0,0,0,0,0,0,LT
173,154,Brandon George,LB,1,6,7,1.0,9,0,0,0,0,0,1,PITT
174,154,Will Jones,S,5,2,7,0.0,0,0,0,0,0,0,0,IIODU
175,154,Tyrone Lewis Jr.,S,3,4,7,0.0,0,0,0,0,0,0,0,UL
