,RK,Name,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG,Team
181,182,Katin Houser,QB,3,3,100.0,50,16.7,22,0,0,0,240.0,ECU
182,182,Jalen Macon,QB,4,7,57.1,50,7.1,14,0,0,0,117.1,NIU
183,184,DeAngelo Irvin Jr.,WR,1,1,100.0,42,42.0,42,0,0,0,452.8,UNLV
184,185,Roman Gagliano,QB,4,7,57.1,41,5.9,44,0,0,0,106.3,MTSU
185,186,Gabarri Johnson,QB,3,5,60.0,36,7.2,23,0,0,1,120.5,ORST
186,186,Kaden Anderson,QB,4,6,66.7,36,6.0,23,1,0,0,172.1,WYO
187,188,Heinrich Haarberg,QB,5,5,100.0,35,7.0,12,0,0,0,158.8,NEB
188,188,RJ Martinez,QB,7,10,70.0,35,3.5,12,0,0,1,99.4,TXST
189,188,Drake Lindsey,QB,3,4,75.0,35,8.8,17,1,0,0,231.0,MINN
190,191,Nate Yarnell,QB,4,8,50.0,33,4.1,16,1,0,1,125.9,PITT
191,191,Holden Geriner,QB,2,2,100.0,33,16.5,23,0,0,0,238.6,AUB
192,193,Jake Merklinger,QB,4,4,100.0,31,7.8,13,0,0,1,165.1,TENN
193,193,Wyatt Young,WR,1,1,100.0,31,31.0,31,0,0,0,360.4,UNT
194,195,Cameron Friel,QB,1,1,100.0,30,30.0,30,0,0,0,352.0,UNLV
195,196,Donovan Leary,QB,2,5,40.0,29,5.8,18,0,0,0,88.7,ILL
196,197,Noah Kim,QB,3,4,75.0,28,7.0,12,1,0,0,216.3,CCU
197,197,Aidan Armenta,QB,1,1,100.0,28,28.0,28,1,0,0,665.2,ULM
198,199,Nick Nash,WR,1,1,100.0,26,26.0,26,1,0,0,648.4,SJSU
199,200,Deuce Hogan,QB,2,5,40.0,23,4.6,19,0,0,1,78.6,NMSU
200,200,Jacobe Robinson,QB,2,3,66.7,23,7.7,12,0,0,1,131.1,BC
201,202,Jacurri Brown,QB,5,9,55.6,22,2.4,6,0,0,0,76.1,UCF
202,202,Dewayne Coleman,QB,2,2,100.0,22,11.0,17,0,0,0,192.4,ARMY
203,204,Chandler Rogers,QB,3,6,50.0,21,3.5,11,0,0,0,79.4,CAL
204,204,AJ Bianco,QB,1,1,100.0,21,21.0,21,0,0,0,276.4,NEV
205,206,Bryce Archie,QB,3,4,75.0,20,5.0,15,1,0,2,199.5,USF
206,206,Reese Poffenbarger,QB,6,7,85.7,20,2.9,8,0,0,1,109.7,MIA
207,206,Coy Eakin,WR,1,1,100.0,20,20.0,20,1,0,0,598.0,TTU
208,206,Cade McConnell,QB,3,7,42.9,20,2.9,11,0,1,0,38.3,UTEP
209,210,Beau Pribula,QB,1,1,100.0,19,19.0,19,1,0,0,589.6,PSU
210,210,Nate Bennett,QB,1,1,100.0,19,19.0,19,0,0,0,259.6,BAY
211,212,Jaden Smith,WR,1,1,100.0,18,18.0,18,0,0,0,251.2,NEV
212,213,Eli Stowers,TE,1,1,100.0,17,17.0,17,1,0,0,572.8,VAN
213,213,Ty Thompson,QB,2,4,50.0,17,4.3,11,0,0,0,85.7,TULN
214,213,Michael Hawkins Jr.,QB,2,4,50.0,17,4.3,10,0,0,0,85.7,OU
215,216,Ken Seals,QB,3,4,75.0,16,4.0,10,0,0,0,108.6,TCU
216,216,Josh Holst,QB,1,2,50.0,16,8.0,16,0,0,0,117.2,NIU
217,218,Savion Williams,WR,1,1,100.0,15,15.0,15,0,0,0,226.0,TCU
218,218,Jackson Brousseau,QB,3,6,50.0,15,2.5,7,0,1,0,37.7,CSU
219,218,Drew Devillier,QB,2,2,100.0,15,7.5,9,0,0,0,163.0,RICE
220,221,Gavin Wimsatt,QB,3,7,42.9,14,2.0,7,0,1,1,31.1,UK
221,221,Shay Smith,QB,2,2,100.0,14,7.0,11,0,0,1,158.8,UTEP
222,223,MJ Morris,QB,3,4,75.0,13,3.3,7,0,0,1,102.3,MD
223,224,Nicco Marchiol,QB,3,4,75.0,12,3.0,8,0,1,0,50.2,WVU
224,224,Ryan Burger,QB,2,3,66.7,12,4.0,8,0,0,0,100.3,LIB
225,224,Rickie Collins,QB,1,1,100.0,12,12.0,12,0,0,0,200.8,LSU
226,227,Caden Veltkamp,QB,4,9,44.4,11,1.2,4,0,0,0,54.7,WKU
227,227,Pierce Clarkson,QB,3,4,75.0,11,2.8,7,0,0,1,98.1,LOU
228,227,Jalyn Gramstad,QB,1,3,33.3,11,3.7,11,0,0,0,64.1,NEB
229,230,Cole Welliver,QB,2,4,50.0,10,2.5,9,0,0,0,71.0,CONN
230,230,Aidan Warner,QB,1,2,50.0,10,5.0,10,0,0,0,92.0,FLA
231,232,Kai Horton,QB,1,1,100.0,9,9.0,9,0,0,0,175.6,TULN
232,232,Jacob Knuth,QB,1,1,100.0,9,9.0,9,0,0,0,175.6,KSU
233,232,Tommy Ulatowski,QB,1,1,100.0,9,9.0,9,1,0,0,505.6,KENT
234,232,Brayden Roggow,QB,1,2,50.0,9,4.5,9,0,1,0,-12.2,AKR
235,236,Tucker McDonald,QB,2,3,66.7,8,2.7,5,0,0,0,89.1,CONN
236,237,Henry Belin,QB,1,1,100.0,7,7.0,7,0,0,0,158.8,IVDUKE
237,237,Robby Ashford,QB,1,1,100.0,7,7.0,7,0,0,0,158.8,SC
238,239,Alberto Mendoza,QB,1,1,100.0,6,6.0,6,0,0,0,150.4,IU
239,240,Ta'Quan Roberson,QB,1,3,33.3,4,1.3,4,0,0,0,44.5,KSU
240,240,Jaden Smith,WR,1,1,100.0,4,4.0,4,1,0,0,463.6,UTEP
241,240,Trent Pearman,QB,1,2,50.0,4,2.0,4,0,0,0,66.8,CLEM
242,243,Alex Orji,QB,1,2,50.0,3,1.5,3,1,0,0,227.6,MICH
243,244,Jacolby Criswell,QB,1,1,100.0,2,2.0,2,0,0,1,116.8,UNC
244,244,Justin Lamson,QB,1,1,100.0,2,2.0,2,1,0,0,446.8,STAN
245,244,Lucian Anderson,QB,1,1,100.0,2,2.0,2,0,0,0,116.8,IIIBGSU
246,247,Ty Son Lawton,RB,0,1,0.0,0,0.0,0,0,0,0,0.0,IU
247,247,Collin Schlee,QB,0,1,0.0,0,0.0,0,0,0,1,0.0,VT
248,247,Xavier Restrepo,WR,0,1,0.0,0,0.0,0,0,0,0,0.0,MIA
249,247,Trayvon Rudolph,WR,0,1,0.0,0,0.0,0,0,0,0,0.0,NIU
250,247,Anthony Sambucci,WR,0,1,0.0,0,0.0,0,0,0,0,0.0,WMU
251,247,Taylor Morin,WR,0,1,0.0,0,0.0,0,0,0,0,0.0,WAKE
252,247,Billy Wiles,QB,0,1,0.0,0,0.0,0,0,1,0,-200.0,APP
253,247,Walker Howard,QB,0,2,0.0,0,0.0,0,0,0,0,0.0,MISS
254,247,Zion Turner,QB,0,1,0.0,0,0.0,0,0,0,0,0.0,JVST
255,247,Mike Washington,RB,0,1,0.0,0,0.0,0,0,0,0,0.0,NMSU
256,247,Walker Eget,QB,0,1,0.0,0,0.0,0,0,0,0,0.0,SJSU
257,247,Tony Muskett,QB,0,3,0.0,0,0.0,0,0,1,0,-66.7,UVA
258,247,Chris Parson,QB,0,2,0.0,0,0.0,0,0,0,0,0.0,MSST
259,247,Cardell Williams,QB,0,1,0.0,0,0.0,0,0,0,0,0.0,TLSA
260,247,Kaedin Robinson,WR,0,1,0.0,0,0.0,0,0,1,0,-200.0,APP
261,247,Ryan Staub,QB,0,2,0.0,0,0.0,0,0,0,1,0.0,COLO
262,247,Dylan Rizk,QB,1,1,100.0,0,0.0,0,0,0,0,100.0,UCF
263,247,Broc Lowry,QB,0,2,0.0,0,0.0,0,0,0,0,0.0,WMU
264,247,Harold Fannin Jr.,TE,0,1,0.0,0,0.0,0,0,0,0,0.0,BGSU
265,247,Cameran Brown,QB,0,1,0.0,0,0.0,0,0,0,0,0.0,TTU
266,267,Zach Pyron,QB,1,1,100.0,-1,-1.0,0,0,0,0,91.6,GT
