Position,field_pos,team_name,String Order,Player Number,First Name,Last Name,School year
QB,Offense,Charlotte 49ers,2nd String,11,Ivey,Trexler,RS SR
RB,Offense,Charlotte 49ers,2nd String,0,Kellman,Terron,RS SO/TR
LDE,Defense,Charlotte 49ers,2nd String,99,Martin,Dre,RS SO/TR
NT,Defense,Charlotte 49ers,2nd String,88,Evans,Katron,RS JR/TR
DT,Defense,Charlotte 49ers,2nd String,55,Coates,Colin,SO
RDE,Defense,Charlotte 49ers,2nd String,17,Kelly-Lawson,Mike,RS SR
WLB,Defense,Charlotte 49ers,2nd String,3,Clowney,Demon,RS SR/TR
MLB,Defense,Charlotte 49ers,2nd String,8,Burden,Cam,RS JR
SLB,Defense,Charlotte 49ers,2nd String,42,Okate,Jonathon,RS SO/TR
LCB,Defense,Charlotte 49ers,2nd String,20,Booker,Trevon,RS SR/TR
SS,Defense,Charlotte 49ers,2nd String,29,Neal,Maguire,JR
FS,Defense,Charlotte 49ers,2nd String,32,McDaniel,Mordecai,RS JR/TR
RCB,Defense,Charlotte 49ers,2nd String,30,Edwards,Derrick,RS JR/TR
PT,Special Teams,Charlotte 49ers,2nd String,95,Long,Bronson,RS SO/TR
PK,Special Teams,Charlotte 49ers,2nd String,99,Rusnak,Stephen,RS JR/TR
KO,Special Teams,Charlotte 49ers,2nd String,94,Cunanan,Kyle,SO
LS,Special Teams,Charlotte 49ers,2nd String,50,Billings,Zach,RS JR/TR
H,Special Teams,Charlotte 49ers,2nd String,,,,
PR,Special Teams,Charlotte 49ers,2nd String,3,Mack,Jairus,RS JR
KR,Special Teams,Charlotte 49ers,2nd String,38,Wilson,Hahsaun,RS JR
WR-X,Offense,Charlotte 49ers,3rd String,,,,
WR-Z,Offense,Charlotte 49ers,3rd String,7,Traynor,Terez,RS SR/TR
WR-SL,Offense,Charlotte 49ers,3rd String,,,,
LT,Offense,Charlotte 49ers,3rd String,,,,
LG,Offense,Charlotte 49ers,3rd String,,,,
C,Offense,Charlotte 49ers,3rd String,,,,
RG,Offense,Charlotte 49ers,3rd String,,,,
RT,Offense,Charlotte 49ers,3rd String,,,,
LTE,Offense,Charlotte 49ers,3rd String,,,,
RTE,Offense,Charlotte 49ers,3rd String,,,,
QB,Offense,Charlotte 49ers,3rd String,15,Purdie,Deshawn,FR
RB,Offense,Charlotte 49ers,3rd String,38,Wilson,Hahsaun,RS JR
LDE,Defense,Charlotte 49ers,3rd String,,,,
NT,Defense,Charlotte 49ers,3rd String,,,,
DT,Defense,Charlotte 49ers,3rd String,,,,
RDE,Defense,Charlotte 49ers,3rd String,,,,
WLB,Defense,Charlotte 49ers,3rd String,19,Spellman,Donovan,JR/TR
MLB,Defense,Charlotte 49ers,3rd String,,,,
SLB,Defense,Charlotte 49ers,3rd String,,,,
LCB,Defense,Charlotte 49ers,3rd String,,,,
SS,Defense,Charlotte 49ers,3rd String,,,,
FS,Defense,Charlotte 49ers,3rd String,2,McGee,Treyveon,RS SR/TR
RCB,Defense,Charlotte 49ers,3rd String,,,,
PT,Special Teams,Charlotte 49ers,3rd String,,,,
PK,Special Teams,Charlotte 49ers,3rd String,,,,
KO,Special Teams,Charlotte 49ers,3rd String,,,,
LS,Special Teams,Charlotte 49ers,3rd String,,,,
H,Special Teams,Charlotte 49ers,3rd String,,,,
PR,Special Teams,Charlotte 49ers,3rd String,,,,
KR,Special Teams,Charlotte 49ers,3rd String,,,,
WR-X,Offense,Charlotte 49ers,4th String,,,,
WR-Z,Offense,Charlotte 49ers,4th String,,,,
WR-SL,Offense,Charlotte 49ers,4th String,,,,
LT,Offense,Charlotte 49ers,4th String,,,,
LG,Offense,Charlotte 49ers,4th String,,,,
C,Offense,Charlotte 49ers,4th String,,,,
RG,Offense,Charlotte 49ers,4th String,,,,
RT,Offense,Charlotte 49ers,4th String,,,,
LTE,Offense,Charlotte 49ers,4th String,,,,
RTE,Offense,Charlotte 49ers,4th String,,,,
QB,Offense,Charlotte 49ers,4th String,,,,
RB,Offense,Charlotte 49ers,4th String,21,Rutledge,Henry,RS JR
LDE,Defense,Charlotte 49ers,4th String,,,,
NT,Defense,Charlotte 49ers,4th String,,,,
DT,Defense,Charlotte 49ers,4th String,,,,
RDE,Defense,Charlotte 49ers,4th String,,,,
WLB,Defense,Charlotte 49ers,4th String,,,,
MLB,Defense,Charlotte 49ers,4th String,,,,
SLB,Defense,Charlotte 49ers,4th String,,,,
LCB,Defense,Charlotte 49ers,4th String,,,,
SS,Defense,Charlotte 49ers,4th String,,,,
FS,Defense,Charlotte 49ers,4th String,,,,
RCB,Defense,Charlotte 49ers,4th String,,,,
PT,Special Teams,Charlotte 49ers,4th String,,,,
PK,Special Teams,Charlotte 49ers,4th String,,,,
KO,Special Teams,Charlotte 49ers,4th String,,,,
LS,Special Teams,Charlotte 49ers,4th String,,,,
H,Special Teams,Charlotte 49ers,4th String,,,,
PR,Special Teams,Charlotte 49ers,4th String,,,,
KR,Special Teams,Charlotte 49ers,4th String,,,,
WR-X,Offense,Charlotte 49ers,5th String,,,,
WR-Z,Offense,Charlotte 49ers,5th String,,,,
WR-SL,Offense,Charlotte 49ers,5th String,,,,
LT,Offense,Charlotte 49ers,5th String,,,,
LG,Offense,Charlotte 49ers,5th String,,,,
C,Offense,Charlotte 49ers,5th String,,,,
RG,Offense,Charlotte 49ers,5th String,,,,
RT,Offense,Charlotte 49ers,5th String,,,,
LTE,Offense,Charlotte 49ers,5th String,,,,
RTE,Offense,Charlotte 49ers,5th String,,,,
QB,Offense,Charlotte 49ers,5th String,,,,
RB,Offense,Charlotte 49ers,5th String,,,,
LDE,Defense,Charlotte 49ers,5th String,,,,
NT,Defense,Charlotte 49ers,5th String,,,,
DT,Defense,Charlotte 49ers,5th String,,,,
RDE,Defense,Charlotte 49ers,5th String,,,,
WLB,Defense,Charlotte 49ers,5th String,,,,
MLB,Defense,Charlotte 49ers,5th String,,,,
SLB,Defense,Charlotte 49ers,5th String,,,,
LCB,Defense,Charlotte 49ers,5th String,,,,
SS,Defense,Charlotte 49ers,5th String,,,,
FS,Defense,Charlotte 49ers,5th String,,,,
RCB,Defense,Charlotte 49ers,5th String,,,,
PT,Special Teams,Charlotte 49ers,5th String,,,,
PK,Special Teams,Charlotte 49ers,5th String,,,,
KO,Special Teams,Charlotte 49ers,5th String,,,,
LS,Special Teams,Charlotte 49ers,5th String,,,,
H,Special Teams,Charlotte 49ers,5th String,,,,
PR,Special Teams,Charlotte 49ers,5th String,,,,
KR,Special Teams,Charlotte 49ers,5th String,,,,
WR-X,Offense,East Carolina Pirates,1st String,17,Smith,Anthony,RS SR/TR
WR-Z,Offense,East Carolina Pirates,1st String,33,Spalding,Brock,RS SO
